These,are,the,entries
with,flavors,that,were,deleted
=====,=====,=====,=====,=====,=====,=====
EntryID,Type,Name,FlavorAssetIDs,FlavorsSize,LastPlayedAt,CreatedAt
1_egrhdv7c,1,PeerAssessment-512.wmv,"1_n07qgvrw 1_pgmzdsmt",26725,,1358175826
1_ud3u7h9m,1,"afl and app.wmv","1_mjgituo4 1_xlvd8tmg",220979,1453194000,1358270935
1_gaeseyga,1,"Psychology2-Critique of Traditional Approach II - DK","1_fd6q6vvr 1_tusyxxpr",338944,,1358344418
1_qazpkeme,1,"Irene video.mp4","1_0qnxq0pk 1_ip1ka0r6 1_wz1dlz7n",1376256,1360242000,1358442786
1_me61mo1x,1,"afl in geog.wmv","1_wiuan86a 1_v1nm2v1o",111308,1547470800,1358512968
1_3ohxkbf5,1,ScreenCaptureTest2,"1_n3w0ec0e 1_nhe2ag02",140,,1358791510
1_kvgmuqhp,1,"Belbin Video_Final.avi","1_e12ehtox 1_86tvm1qd 1_up6mexvd 1_twbl49f9 1_dexyk2r1",85297,1431619200,1358947854
1_boxmag9a,1,"Iowa gambling Task.wmv","1_c3ol8723 1_blhtmbad 1_jlad93sg",69323,,1359033301
1_1t2e52yi,1,"Audio Recording 3.mov",1_7pikpkuu,57,1359126000,1359126304
1_qsicoujl,1,IMG_0068.MOV,"1_kncwp0jb 1_6rvm069n 1_57cfv6bc 1_5ep15b17 1_ymuw70fo",103729,,1359324989
1_qqlwf8im,1,"reading list issue.mov","1_0is5z7b7 1_86rbugsd 1_4z2t1tou 1_tkhapyxg 1_wkk1w9i2",15337,1375351200,1359327183
1_niv5rmat,1,"reading list issue2.mov","1_qtoz5dr9 1_g2x85n10 1_kwx0qhxz",5518,1359381600,1359327704
1_uzmm4vqc,1,"Session ID issue2.mov","1_dg7dsl7d 1_9bgcei48 1_r6sdrz9k",5723,1359327600,1359327943
1_ukgknm12,1,IMG_0196.MOV,"1_cbvwuny2 1_3pqfmtmf 1_96ogocg1 1_ctulwyqa 1_m4j11oh7",101405,,1359328230
1_7m7m5hu3,1,"More Mustang.wmv","1_w4xb260m 1_1b69ktuz 1_gvmgacvw 1_nafamzlz 1_50bvejhe",8651,1479992400,1359454640
1_aiuc2ejx,1,"Dummy 1 Video","1_4a8yrjn9 1_yl5f9gls",4311,1360144800,1359541686
1_0bgfzqt1,1,"Dummy 2 Video","1_4rrl10a2 1_64fwdo3q",4311,,1359541764
1_23lrc79r,1,"Dummy 03","1_qtgytnpq 1_247x3rze",4311,1509699600,1359541819
1_x129ctv3,1,boxed-correct.avi,1_9pns0j3c,14,1510844400,1359558435
1_3vgu8do2,1,"finishing podcast for PD1.mp4",1_7wtgcfue,5611,,1359562675
1_69sr5b2w,1,"A PowerPoint Test Video.wmv","1_9wyzw7xe 1_t9ds6kaz 1_xuk75r6d",633,1359626400,1359625733
1_jiwxuh1x,1,negotiation.wmv,"1_chxpqm4h 1_9i9gfp8t 1_q900rpay",802816,1488794400,1359633395
1_mfiixili,1,"iPhone from a webcam",1_quf2ry4s,349,1398348000,1359658130
1_dyk5j4zq,1,"Webcam Pres","1_j0r03ezd 1_uj5riebn",2395,1359727200,1359729184
1_ga8yi3e2,1,"FAAS Demonstration Video","1_myeudodn 1_4eaqkhog",11693,1392188400,1359930327
1_2ew11mf3,1,Wildlife.wmv,"1_dxh3cw9m 1_dznbi45o 1_b6b1z3ml 1_b8wdozkz 1_aj9musdb",23704,1430208000,1359931234
1_p9yxn9w6,1,"Scenario 15.wmv","1_8t8tm7ij 1_oi29uzfx 1_fhh8smt0 1_g43alhta 1_7d7pulid",81109,,1359967271
1_hql34gol,1,"Customer Profile Group 11.wmv","1_pvnip4sh 1_ni32akaw 1_2keap88p",11396,1360148400,1360003333
1_vjh0bosb,1,"SkyDrive iPhone App",1_a3bbv5if,10956,,1360054666
1_6i22kk5w,1,"TAX SUPERTUTORIAL- WEEK COMMENCING 21 JANUARY 2013","1_ukuqanfm 1_nt6ixcy8",261120,,1360056714
1_sbsl78st,1,"TAX SUPERTUTORIAL WEEK COMMENCING 14TH JANUARY 2013","1_sg3lyi0n 1_c9u8uy2p",190361,,1360056715
1_uxq3k2is,1,"PROPERTY INCOME-EDMUND BRICK","1_gobhrgdl 1_ft9b110c",125132,,1360056716
1_rzx5fvlj,1,"TAX SUPERTUTORIAL WEEK COMMENCING 10 DECEMBER 2012","1_7d5w5vsu 1_x9f0baq1",148479,,1360056717
1_3c9h16nu,1,"TAX SUPERTUTORIAL WEEK COMMENCING 3RD DECEMBER 2012","1_jkpf77ey 1_h2udbqgr",172953,,1360056718
1_7nwx4ev5,1,"TAX SUPERTUTORIAL WEEK COMMENCING 26 NOVEMBER 2012","1_62tijkcm 1_xx4gj6c0",168242,,1360056719
1_uis2xv0t,1,"TAX SUPERTUTORIAL WEEK COMMENCING 19 NOVEMBER 2012","1_coau4sls 1_l6b20jv3",322560,,1360056719
1_uslsa2bw,1,"TAX SUPERTUTORIAL WEEK COMMENCING 12 NOVEMBER 2012","1_qfqaq5du 1_ehfs53w1",244019,,1360056720
1_lgye93nw,1,"TAX SUPERTUTORIAL WEEK COMMENCING 5TH NOVEMBER 2012","1_6xgoep94 1_fv618wro",172646,,1360056721
1_og9cuiqb,1,"TAX SUPERTUTORIAL-WEEK COMMENCING 22 OCTOBER 2012","1_1cunb3xc 1_8updrenl",174284,,1360056723
1_kybtgpqi,1,"TAX SUPERTUTORIAL WEEK COMMENCING 15 OCTOBER 2012","1_9mk27f5r 1_19ub7hvt",272384,,1360056723
1_2dkjseua,1,"TAX SUPERTUTORIAL WEEK COMMENCING 8TH OCTOBER 2012","1_jd2yisjo 1_xdvpyc9b",228659,,1360056725
1_35ij7u3d,1,"FA ADDITIONAL REVISION QUESTION PODCAST","1_8b2d8rv6 1_7xscj0hp",276480,,1360056726
1_ab76vwiu,1,"FA LECTURE 20 OVERVIEW","1_rfgmuja8 1_mxkb6miy",76902,,1360056727
1_2x86pafr,1,"RATIO ANAYLSIS QUESTION","1_0gyknkk5 1_27i9h3ku",183603,,1360056728
1_7mwlxonb,1,"FA SUPERTUTORIAL FROM LECTURE 18","1_691a9jdu 1_1mhna72g",169573,,1360056729
1_jdj7ib6l,1,"FA LECTURE 18 OVERVIEW-WEEK COMMENCING 5TH MARCH 2012","1_x3nlbg3y 1_y04q6i38",187596,,1360056729
1_ww78wcde,1,"FA SUPERTUTORIAL FROM LECTURE 17","1_gplgehsq 1_6wlcn46v",98303,,1360056730
1_xscc7bcg,1,"FA LECTURE 17 OVERVIEW-STATEMENTS OF CASHFLOW","1_tal59hj6 1_mvhef7bv",186060,,1360056731
1_8h21dgzu,1,"FA SUPERTUTORIAL FROM LECTURE 14","1_iuegaq31 1_spl7bk5l",107212,,1360056732
